facilityid,name,city,county,state,zip,capacity,type,securelvl,status,flood_risk_rating,flood_risk,confidence,latitude,longitude
10004179,Western Youth Institution,Morganton,Burke,NC,28655,785,State,Juvenile,Closed,1,Not Available,Low,35.6792010207098,-81.6835779704543
10006586,Central Regional Hospital,Butner,Granville,NC,27509,76,State,Not Available,Open,1,Minimal,High,36.1459850175986,-78.7720170331988
10001774,Haywood Correctional Center,Waynesville,Haywood,NC,28786,128,State,Minimum,Closed,9,Extreme,Medium-High,35.4715759984551,-83.0040950155836
10001764,Edgecombe County Detention Center Annex,Tarboro,Edgecombe,NC,27886,93,County,Not Available,Open,1,Minimal,High,35.8976130075276,-77.5326499703958
10001792,Union Correctional Center,Monroe,Union,NC,28112,82,State,Minimum,Closed,1,Minimal,Medium-High,34.9809949821704,-80.5220799616175
10005524,Polk County Jail,Columbus,Polk,NC,28722,25,County,Not Available,Open,1,Minimal,High,35.250467008562,-82.1981229736461
10001779,Rutherford County Detention Center,Rutherfordton,Rutherford,NC,28139,208,County,Not Available,Open,1,Minimal,High,35.3698639922635,-81.957868962529
10002634,Bertie Martin Regional Jail,Windsor,Bertie,NC,27983,90,County,Not Available,Open,1,Minimal,High,35.9758340176082,-76.9435070347709
10005504,Yadkin County Jail,Yadkinville,Yadkin,NC,27055,96,County,Maximum,Open,1,Minimal,Medium-High,36.1353280144442,-80.6581510233964
10001748,Fci Butner Low,Butner,Granville,NC,27509,992,Federal,Minimum,Open,1,Minimal,Medium,36.137455,-78.7617299999999
10001760,Fmc Butner,Butner,Granville,NC,27509,868,Federal,Maximum,Open,1,Minimal,High,36.137455,-78.7617299999999
10004168,Fci Butner Medium I Camp,Butner,Granville,NC,27509,296,Federal,Minimum,Open,1,Minimal,Medium,36.137455,-78.7617299999999
10001749,Caswell Correctional Center,Blanch,Caswell,NC,27212,460,State,Medium,Open,1,Minimal,Medium,36.4188540197997,-79.3417670109038
10002638,Catawba Correctional Center,Newton,Catawba,NC,28658,246,State,Minimum,Open,1,Minimal,High,35.6151059901412,-81.2106289999609
10002640,Craggy Correctional Center,Asheville,Buncombe,NC,28804,408,State,Medium,Open,1,Minimal,Medium,35.6631119994741,-82.6155259938052
10001787,Craven Correctional Institution,Vanceboro,Craven,NC,28586,850,State,Medium,Open,1,Minimal,High,35.3169650050425,-77.1174910371739
10001750,Dan River Prison Work Farm,Blanch,Caswell,NC,27212,640,State,Minimum,Open,1,Minimal,High,36.4326520154405,-79.3469639585106
